Time,Food
1,284
2,296
3,308
4,320
5,331
6,329
7,325
8,316
9,273
10,246
11,229
12,216
13,212
14,206
15,207
16,208
17,209
18,206
19,205
20,206
21,203
22,204
23,202
24,199
25,201
26,200
27,198
28,194
29,198
30,193
31,191
32,191
33,195
34,200
35,203
36,212
37,209
38,207
39,209
40,204
41,206
42,208
43,213
44,215
45,217
46,221
47,224
48,225
49,224
50,228
51,224
52,221
53,214
54,215
55,215
56,212
57,210
58,214
59,218
60,216
61,218
62,219
63,218
64,221
65,222
66,223
67,224
68,231
69,235
70,234
71,240
72,246
73,249
74,253
75,257
76,257
77,261
78,267
79,271
80,273
81,277
82,275
83,279
84,281
85,288
86,293
87,298
88,303
89,305
90,311
91,319
92,325
93,329
94,334
95,343
96,346
97,352
98,352
99,358
100,360
101,361
102,366
103,368
104,366
105,370
106,379
107,381
108,386
109,392
110,400
111,406
112,409
113,416
114,427
115,438
116,449
117,459
118,473
119,480
120,490
121,496
122,503
123,516
124,524
125,534
126,548
127,560
128,573
129,590
130,613
131,628
132,642
133,655
134,675
135,686
136,699
137,713
138,735
139,747
140,765
141,781
142,800
143,818
144,845
145,865
146,882
147,906
148,930
149,957
150,993
151,1016
152,1040
153,1071
154,1093
155,1117
156,1144
157,1168
158,1187
159,1217
160,1240
161,1252
162,1285
163,1295
164,1317
165,1357
166,1379
167,1404
168,1436
169,1454
170,1480
171,1513
172,1536
173,1560
174,1596
175,1610
176,1620
177,1650
178,1665
179,1678
180,1704
181,1717
182,1730
183,1762
184,1771
185,1786
186,1810
187,1821
188,1826
189,1853
190,1860
191,1864
192,1892
193,1893
194,1901
1,284
2,296
3,308
4,320
1,284
2,296
3,308
1,284
2,296
1,284
1,284
2,296
1,284
2,296
3,306
4,316
5,324
6,326
1,284
2,296
3,308
1,284
2,296
3,308
4,320
5,336
1,284
1,284
2,296
1,284
2,296
3,308
4,320
5,332
6,335
7,339
8,355
9,367
10,379
11,395
1,284
1,284
2,296
3,308
1,284
2,296
3,308
4,320
5,336
6,348
1,284
2,296
3,308
1,284
2,296
3,308
1,284
2,296
3,308
4,318
5,331
6,339
7,346
8,362
9,373
1,284
2,296
3,308
4,320
1,284
2,296
3,308
1,284
1,284
1,284
2,296
1,284
1,284
1,284
1,284
2,296
3,308
1,284
2,296
3,308
4,320
5,336
6,348
1,284
1,284
1,284
1,284
1,284
1,284
1,284
2,296
3,308
4,320
1,284
2,296
3,308
1,284
2,296
3,308
4,320
1,284
2,296
3,308
4,320
5,332
6,335
1,284
2,296
3,308
1,284
1,284
2,296
3,308
4,320
5,329
6,325
7,321
1,284
2,296
3,308
4,320
1,284
2,296
3,308
4,320
5,308
6,293
7,292
8,303
9,311
10,319
11,333
12,342
13,348
14,332
15,334
16,339
17,339
18,349
19,359
20,369
21,382
22,391
23,395
1,284
2,296
3,308
4,320
5,303
6,295
1,284
2,296
3,308
4,320
5,303
6,295
7,296
8,308
9,317
10,324
11,338
12,342
13,337
14,330
15,329
16,335
17,346
18,352
19,360
1,284
2,296
3,308
1,284
2,296
3,308
4,320
1,284
2,296
3,308
4,320
5,268
6,203
7,180
8,166
9,143
10,107
11,76
12,61
13,53
14,42
15,33
16,30
17,27
18,26
19,25
1,284
1,284
1,284
1,284
1,284
2,296
3,306
4,318
1,284
1,284
1,284
2,296
3,306
4,318
5,323
6,324
1,284
2,296
3,306
4,317
5,326
6,326
1,284
1,284
2,295
3,307
4,318
5,323
6,330
1,284
2,295
3,307
4,317
5,320
6,323
1,284
2,295
3,307
4,317
1,284
2,295
3,307
4,317
5,324
6,329
1,284
2,295
1,284
1,284
2,296
3,308
1,284
1,284
2,295
3,303
4,312
5,310
6,311
7,308
8,301
9,275
10,250
1,284
2,295
3,304
4,313
5,314
1,284
1,284
1,284
2,296
3,305
4,315
5,317
6,313
7,314
1,284
2,296
3,308
4,320
5,336
6,348
7,360
8,376
9,388
10,400
11,413
1,284
1,284
2,296
3,308
4,320
1,284
2,296
3,308
4,320
5,336
6,347
7,353
8,364
9,362
10,362
11,360
12,353
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
2,296
3,308
4,320
5,336
6,348
7,360
8,376
9,388
10,400
11,416
12,428
1,284
1,284
1,284
1,284
1,284
1,284
1,284
1,284
2,287
3,258
4,251
1,284
2,286
3,263
1,284
1,284
2,292
1,284
2,292
3,254
4,255
5,269
1,284
2,285
1,284
2,287
3,253
4,254
1,284
2,282
3,257
4,253
5,264
6,270
1,284
2,296
3,308
4,320
5,336
6,347
7,353
1,284
1,284
1,284
2,296
3,308
4,320
1,284
2,296
3,308
4,320
5,336
6,348
7,356
8,365
1,284
1,284
2,296
3,308
4,320
1,284
2,296
3,308
1,284
1,284
1,284
1,284
1,284
2,296
3,308
1,284
2,296
3,308
4,320
5,334
6,340
7,351
8,365
9,373
1,284
2,296
1,284
2,296
3,308
4,320
5,331
6,339
7,347
8,355
9,357
10,358
11,336
12,320
1,284
1,284
2,296
3,308
4,320
1,284
1,284
2,296
1,284
2,296
3,308
4,320
1,284
1,284
2,296
3,308
4,320
5,334
6,339
7,346
8,354
9,352
10,349
11,351
12,349
13,346
14,343
15,330
16,326
17,333
1,284
1,284
1,284
2,296
3,308
4,320
5,336
6,348
7,360
8,376
9,388
10,400
11,416
12,428
13,440
1,284
1,284
1,284
1,284
2,296
1,284
1,284
2,296
1,284
1,284
1,284
1,284
1,284
2,296
1,284
